QR;ID del paquet de bosses;ID Extern de bossa (individual);Assignat?
./data/QR/35RSU/GB035R004732.png;GB035R004732;802A00129267;No
./data/QR/35RSU/GB035R004732.png;GB035R004732;802A00129268;No
./data/QR/35RSU/GB035R004732.png;GB035R004732;802A00129269;No
./data/QR/35RSU/GB035R004732.png;GB035R004732;802A00129270;No
./data/QR/35RSU/GB035R004732.png;GB035R004732;802A00129271;No
./data/QR/35RSU/GB035R004732.png;GB035R004732;802A00129272;No
./data/QR/35RSU/GB035R004732.png;GB035R004732;802A00129273;No
./data/QR/35RSU/GB035R004732.png;GB035R004732;802A00129274;No
./data/QR/35RSU/GB035R004732.png;GB035R004732;802A00129275;No
./data/QR/35RSU/GB035R004732.png;GB035R004732;802A00129276;No
./data/QR/35RSU/GB035R004732.png;GB035R004732;802A00129277;No
./data/QR/35RSU/GB035R004732.png;GB035R004732;802A00129278;No
./data/QR/35RSU/GB035R004732.png;GB035R004732;802A00129279;No
./data/QR/35RSU/GB035R004733.png;GB035R004733;802A00149280;No
./data/QR/35RSU/GB035R004733.png;GB035R004733;802A00149281;No
./data/QR/35RSU/GB035R004733.png;GB035R004733;802A00149282;No
./data/QR/35RSU/GB035R004733.png;GB035R004733;802A00149283;No
./data/QR/35RSU/GB035R004733.png;GB035R004733;802A00149284;No
./data/QR/35RSU/GB035R004733.png;GB035R004733;802A00149285;No
./data/QR/35RSU/GB035R004733.png;GB035R004733;802A00149286;No
./data/QR/35RSU/GB035R004733.png;GB035R004733;802A00149287;No
./data/QR/35RSU/GB035R004733.png;GB035R004733;802A00149288;No
./data/QR/35RSU/GB035R004733.png;GB035R004733;802A00149289;No
./data/QR/35RSU/GB035R004733.png;GB035R004733;802A00149290;No
./data/QR/35RSU/GB035R004733.png;GB035R004733;802A00149291;No
./data/QR/35RSU/GB035R004733.png;GB035R004733;802A00149292;No
./data/QR/35RSU/GB035R004733.png;GB035R004733;802A00149293;No
./data/QR/35RSU/GB035R004733.png;GB035R004733;802A00149294;No
./data/QR/35RSU/GB035R004733.png;GB035R004733;802A00149295;No
./data/QR/35RSU/GB035R004733.png;GB035R004733;802A00149296;No
./data/QR/35RSU/GB035R004733.png;GB035R004733;802A00149297;No
./data/QR/35RSU/GB035R004733.png;GB035R004733;802A00149298;No
./data/QR/35RSU/GB035R004733.png;GB035R004733;802A00149299;No
./data/QR/35RSU/GB035R004734.png;GB035R004734;802A00129280;No
./data/QR/35RSU/GB035R004734.png;GB035R004734;802A00129281;No
./data/QR/35RSU/GB035R004734.png;GB035R004734;802A00129282;No
./data/QR/35RSU/GB035R004734.png;GB035R004734;802A00129283;No
./data/QR/35RSU/GB035R004734.png;GB035R004734;802A00129284;No
./data/QR/35RSU/GB035R004734.png;GB035R004734;802A00129285;No
./data/QR/35RSU/GB035R004734.png;GB035R004734;802A00129286;No
./data/QR/35RSU/GB035R004734.png;GB035R004734;802A00129287;No
./data/QR/35RSU/GB035R004734.png;GB035R004734;802A00129288;No
./data/QR/35RSU/GB035R004734.png;GB035R004734;802A00129289;No
./data/QR/35RSU/GB035R004734.png;GB035R004734;802A00129290;No
./data/QR/35RSU/GB035R004734.png;GB035R004734;802A00129291;No
./data/QR/35RSU/GB035R004734.png;GB035R004734;802A00129292;No
./data/QR/35RSU/GB035R004734.png;GB035R004734;802A00129293;No
./data/QR/35RSU/GB035R004734.png;GB035R004734;802A00129294;No
./data/QR/35RSU/GB035R004734.png;GB035R004734;802A00129295;No
./data/QR/35RSU/GB035R004734.png;GB035R004734;802A00129296;No
./data/QR/35RSU/GB035R004734.png;GB035R004734;802A00129297;No
./data/QR/35RSU/GB035R004734.png;GB035R004734;802A00129298;No
./data/QR/35RSU/GB035R004734.png;GB035R004734;802A00129299;No
./data/QR/35RSU/GB035R004735.png;GB035R004735;802A00149300;No
./data/QR/35RSU/GB035R004735.png;GB035R004735;802A00149301;No
./data/QR/35RSU/GB035R004735.png;GB035R004735;802A00149302;No
./data/QR/35RSU/GB035R004735.png;GB035R004735;802A00149303;No
./data/QR/35RSU/GB035R004735.png;GB035R004735;802A00149304;No
./data/QR/35RSU/GB035R004735.png;GB035R004735;802A00149305;No
./data/QR/35RSU/GB035R004735.png;GB035R004735;802A00149306;No
./data/QR/35RSU/GB035R004735.png;GB035R004735;802A00149307;No
./data/QR/35RSU/GB035R004735.png;GB035R004735;802A00149308;No
./data/QR/35RSU/GB035R004735.png;GB035R004735;802A00149309;No
./data/QR/35RSU/GB035R004735.png;GB035R004735;802A00149310;No
./data/QR/35RSU/GB035R004735.png;GB035R004735;802A00149311;No
./data/QR/35RSU/GB035R004735.png;GB035R004735;802A00149312;No
./data/QR/35RSU/GB035R004735.png;GB035R004735;802A00149313;No
./data/QR/35RSU/GB035R004735.png;GB035R004735;802A00149314;No
./data/QR/35RSU/GB035R004735.png;GB035R004735;802A00149315;No
./data/QR/35RSU/GB035R004735.png;GB035R004735;802A00149316;No
./data/QR/35RSU/GB035R004735.png;GB035R004735;802A00149317;No
./data/QR/35RSU/GB035R004735.png;GB035R004735;802A00149318;No
./data/QR/35RSU/GB035R004735.png;GB035R004735;802A00149319;No
./data/QR/35RSU/GB035R004736.png;GB035R004736;802A00129300;No
./data/QR/35RSU/GB035R004736.png;GB035R004736;802A00129301;No
./data/QR/35RSU/GB035R004736.png;GB035R004736;802A00129302;No
./data/QR/35RSU/GB035R004736.png;GB035R004736;802A00129303;No
./data/QR/35RSU/GB035R004736.png;GB035R004736;802A00129304;No
./data/QR/35RSU/GB035R004736.png;GB035R004736;802A00129305;No
./data/QR/35RSU/GB035R004736.png;GB035R004736;802A00129306;No
./data/QR/35RSU/GB035R004736.png;GB035R004736;802A00129307;No
./data/QR/35RSU/GB035R004736.png;GB035R004736;802A00129308;No
./data/QR/35RSU/GB035R004736.png;GB035R004736;802A00129309;No
./data/QR/35RSU/GB035R004736.png;GB035R004736;802A00129310;No
./data/QR/35RSU/GB035R004736.png;GB035R004736;802A00129311;No
./data/QR/35RSU/GB035R004736.png;GB035R004736;802A00129312;No
./data/QR/35RSU/GB035R004736.png;GB035R004736;802A00129313;No
./data/QR/35RSU/GB035R004736.png;GB035R004736;802A00129314;No
./data/QR/35RSU/GB035R004736.png;GB035R004736;802A00129315;No
./data/QR/35RSU/GB035R004736.png;GB035R004736;802A00129316;No
./data/QR/35RSU/GB035R004736.png;GB035R004736;802A00129317;No
./data/QR/35RSU/GB035R004736.png;GB035R004736;802A00129318;No
./data/QR/35RSU/GB035R004736.png;GB035R004736;802A00129319;No
./data/QR/35RSU/GB035R004737.png;GB035R004737;802A00149320;No
./data/QR/35RSU/GB035R004737.png;GB035R004737;802A00149321;No
./data/QR/35RSU/GB035R004737.png;GB035R004737;802A00149322;No
./data/QR/35RSU/GB035R004737.png;GB035R004737;802A00149323;No
./data/QR/35RSU/GB035R004737.png;GB035R004737;802A00149324;No
./data/QR/35RSU/GB035R004737.png;GB035R004737;802A00149325;No
./data/QR/35RSU/GB035R004737.png;GB035R004737;802A00149326;No
./data/QR/35RSU/GB035R004737.png;GB035R004737;802A00149327;No
./data/QR/35RSU/GB035R004737.png;GB035R004737;802A00149328;No
./data/QR/35RSU/GB035R004737.png;GB035R004737;802A00149329;No
./data/QR/35RSU/GB035R004737.png;GB035R004737;802A00149330;No
./data/QR/35RSU/GB035R004737.png;GB035R004737;802A00149331;No
./data/QR/35RSU/GB035R004737.png;GB035R004737;802A00149332;No
./data/QR/35RSU/GB035R004737.png;GB035R004737;802A00149333;No
./data/QR/35RSU/GB035R004737.png;GB035R004737;802A00149334;No
./data/QR/35RSU/GB035R004737.png;GB035R004737;802A00149335;No
./data/QR/35RSU/GB035R004737.png;GB035R004737;802A00149336;No
./data/QR/35RSU/GB035R004737.png;GB035R004737;802A00149337;No
./data/QR/35RSU/GB035R004737.png;GB035R004737;802A00149338;No
./data/QR/35RSU/GB035R004737.png;GB035R004737;802A00149339;No
./data/QR/35RSU/GB035R004738.png;GB035R004738;802A00129320;No
./data/QR/35RSU/GB035R004738.png;GB035R004738;802A00129321;No
